Altium Designer Pick and Place Locations
D:\Projets\MTDistribution\BreadMachine II\HW\Project Outputs\Folder Structure\Pick Place\Pick Place for breadMachine_II.txt
Q16        2N7002              TopLayer SOT-23             2690.000      2520.000      270      "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q15        2N7002              TopLayer SOT-23             790.000       4790.000      270      "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q14        IRLR120NPBF         TopLayer DPACK-3            1697.954      830.000       270      "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q13        IRLR120NPBF         TopLayer DPACK-3            963.938       650.000       90       "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q12        NTD20P06L           TopLayer DPACK-3            353.938       4760.000      90       "Trans MOSFET P-CH 60V 15.5A 3-Pin(2+Tab) DPAK T/R"                                                                                                      
Q11        2N7002              TopLayer SOT-23             2380.000      2380.000      360      "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q10        2N7002              TopLayer SOT-23             2910.000      2520.000      270      "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q9         NTD20P06L           TopLayer DPACK-3            963.938       350.000       90       "Trans MOSFET P-CH 60V 15.5A 3-Pin(2+Tab) DPAK T/R"                                                                                                      
Q8         NTD20P06L           TopLayer DPACK-3            1697.954      450.000       270      "Trans MOSFET P-CH 60V 15.5A 3-Pin(2+Tab) DPAK T/R"                                                                                                      
Q7         2N7002              TopLayer SOT-23             4030.000      3950.000      360      "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q6         2N7002              TopLayer SOT-23             3870.000      3950.000      360      "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q5         2N7002              TopLayer SOT-23             2687.633      4449.667      360      "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q4         BSS84               TopLayer SOT23              6620.000      5780.000      90       "P-channel Enhancement Mode Vertical D-MOSFET"                                                                                                           
Q3         2N7002              TopLayer SOT-23             6110.000      3970.000      270      "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q2         2N7002              TopLayer SOT-23             6110.333      4185.000      270      "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
Q1         2N7002              TopLayer SOT-23             6110.333      4380.000      270      "N-channel Enhancement Mode Field-effect Transistor"                                                                                                     
PT1        10K                 TopLayer 3361P              5330.000      5850.984      180      ""                                                                                                                                                       
P24        COOLER              TopLayer CO3P508_-_2        1690.000      6130.000      180      "Header, 3-Pin"                                                                                                                                          
P23        "Header 3"          TopLayer HDR1X3             1400.000      4910.000      180      "Header, 3-Pin"                                                                                                                                          
P22        HOT                 TopLayer CO2P508            890.000       6140.000      180      "Header, 2-Pin"                                                                                                                                          
P14        "MOTEURS 3"         TopLayer CO6P381            460.000       3415.000      270      "Header, 6-Pin"                                                                                                                                          
P13        "MOTEURS 2"         TopLayer CO5P381            460.000       2060.000      270      "Header, 5-Pin, Right Angle"                                                                                                                             
P12        "MOTEURS 1"         TopLayer CO4P381            460.000       865.000       270      "Header, 4-Pin"                                                                                                                                          
P11        24VDC               TopLayer CO3P508_-_2        4410.000      500.000       360      "Header, 3-Pin"                                                                                                                                          
P9         OPTIONS             TopLayer M20-2X3            4960.000      5370.827      360      "Header, 3-Pin, Dual row"                                                                                                                                
P8         "EXT MOTORS"        TopLayer M20-2X4            3950.000      5370.000      180      "Header, 4-Pin, Dual row"                                                                                                                                
P6         "USB A"             TopLayer USB__2410_06_-_CON 7000.472      810.000       270      "USB 2.0 Connector A"                                                                                                                                    
P5         "USB Mini B"        TopLayer USB_SOCKET_R/A     7284.150      1520.000      180      ""                                                                                                                                                       
P3         "MDB MASTER"        TopLayer MOLEX_39-28-1063   6710.000      6110.000      180      "6 Pin Vertical Header MINI FIT JR MOLEX PN 39281063 WITHOUT PEGS * Disc by Waytek"                                                                      
LS1        BUZZER              TopLayer Buzzer_ABI-017-RC  2690.000      4863.465      0        "SMD magnetic transducter buzzer"                                                                                                                        
L1         47uH                TopLayer Self_DO3316P       2510.000      1580.000      270      ""                                                                                                                                                       
F2         1A                  TopLayer FUS5X20            4070.000      1310.000      90       Fuse                                                                                                                                                     
F1         10A                 TopLayer FUS5X20            4605.000      1310.000      90       Fuse                                                                                                                                                     
D54        HSMH-C190           TopLayer 0603-LEDR          1440.000      5170.000      270      "Surface Mount Chip LED, Red"                                                                                                                            
D53        HSMH-C190           TopLayer 0603-LEDR          680.000       5170.000      270      "Surface Mount Chip LED, Red"                                                                                                                            
D52        BAT54S              TopLayer SOT23              7080.000      3520.000      360      "Schottky Barrier Double Diode"                                                                                                                          
D51        BAT54S              TopLayer SOT23              6530.000      3520.000      0        "Schottky Barrier Double Diode"                                                                                                                          
D50        BAT54S              TopLayer SOT23              7080.000      2790.000      0        "Schottky Barrier Double Diode"                                                                                                                          
D49        BAT54S              TopLayer SOT23              6530.000      2790.000      0        "Schottky Barrier Double Diode"                                                                                                                          
D48        BAT54S              TopLayer SOT23              6530.000      2150.000      0        "Schottky Barrier Double Diode"                                                                                                                          
D47        BAT54S              TopLayer SOT23              7080.000      2150.000      0        "Schottky Barrier Double Diode"                                                                                                                          
D46        BAT54S              TopLayer SOT23              6199.605      5850.000      360      "Schottky Barrier Double Diode"                                                                                                                          
D45        BAT54S              TopLayer SOT-23             5870.000      5950.000      180      "Schottky Barrier Double Diode"                                                                                                                          
D20        HSMH-C190           TopLayer 0603-LEDR          5350.000      650.000       90       "Surface Mount Chip LED, Red"                                                                                                                            
D19        HSMH-C190           TopLayer 0603-LEDR          5200.000      650.000       90       "Surface Mount Chip LED, Red"                                                                                                                            
D18        HSMH-C190           TopLayer 0603-LEDR          5040.000      650.000       90       "Surface Mount Chip LED, Red"                                                                                                                            
D21        SK35                TopLayer SMA                2917.300      1835.000      180      "Diode schottky 50V 3A"                                                                                                                                  
D16        BAT54S              TopLayer SOT23              4130.000      5020.000      270      "Schottky Barrier Double Diode"                                                                                                                          
D15        BAT54S              TopLayer SOT23              3770.000      5020.000      270      "Schottky Barrier Double Diode"                                                                                                                          
D14        BAT54S              TopLayer SOT23              3410.000      5010.000      270      "Schottky Barrier Double Diode"                                                                                                                          
D13        HSMH-C190           TopLayer 0603-LEDR          3960.000      4102.835      90       "Surface Mount Chip LED, Red"                                                                                                                            
D12        HSMH-C190           TopLayer 0603-LEDR          3800.000      4102.835      90       "Surface Mount Chip LED, Red"                                                                                                                            
D11        BAT54S              TopLayer SOT23              6995.000      5735.000      270      "Schottky Barrier Double Diode"                                                                                                                          
D10        BAT54S              TopLayer SOT23              6060.000      4690.000      0        "Schottky Barrier Double Diode"                                                                                                                          
D9         BAT54S              TopLayer SOT23              6060.000      4880.000      0        "Schottky Barrier Double Diode"                                                                                                                          
D8         BAT54S              TopLayer SOT23              6060.000      5080.000      0        "Schottky Barrier Double Diode"                                                                                                                          
D7         BAT54S              TopLayer SOT23              6820.000      3960.000      0        "Schottky Barrier Double Diode"                                                                                                                          
D6         BAT54S              TopLayer SOT23              6810.000      4150.000      0        "Schottky Barrier Double Diode"                                                                                                                          
D5         BAT54S              TopLayer SOT23              6810.000      4340.000      0        "Schottky Barrier Double Diode"                                                                                                                          
D4         BAT54S              TopLayer SOT23              6820.000      4520.000      0        "Schottky Barrier Double Diode"                                                                                                                          
D3         BAT54S              TopLayer SOT23              6810.000      4700.000      0        "Schottky Barrier Double Diode"                                                                                                                          
D2         BAT54S              TopLayer SOT23              6810.000      4880.000      0        "Schottky Barrier Double Diode"                                                                                                                          
D1         BAT54S              TopLayer SOT23              6810.000      5060.000      360      "Schottky Barrier Double Diode"                                                                                                                          
C60        100nF               TopLayer C_0805(2012)X0.65  1330.000      5890.000      360      Capacitor                                                                                                                                                
C59        100nF               TopLayer C_0805(2012)X0.65  540.000       5890.000      180      Capacitor                                                                                                                                                
C58        100nF               TopLayer C_0805(2012)X0.65  7040.000      3370.000      90       Capacitor                                                                                                                                                
C57        100nF               TopLayer C_0805(2012)X0.65  6490.000      3370.000      90       Capacitor                                                                                                                                                
C56        100nF               TopLayer C_0805(2012)X0.65  7040.000      2640.000      90       Capacitor                                                                                                                                                
C55        100nF               TopLayer C_0805(2012)X0.65  6490.000      2640.000      90       Capacitor                                                                                                                                                
C54        100nF               TopLayer C_0805(2012)X0.65  6490.000      2000.000      90       Capacitor                                                                                                                                                
C53        100nF               TopLayer C_0805(2012)X0.65  7040.000      2000.000      90       Capacitor                                                                                                                                                
C52        100nF               TopLayer C_0805(2012)X0.65  6240.000      5720.000      180      Capacitor                                                                                                                                                
C51        100nF               TopLayer C_0805(2012)X0.65  5870.000      6060.000      180      Capacitor                                                                                                                                                
C50        100nF               TopLayer C_0805(2012)X0.65  670.000       3150.000      90       Capacitor                                                                                                                                                
C49        100nF               TopLayer C_0805(2012)X0.65  600.000       3690.000      270      Capacitor                                                                                                                                                
C48        100nF               TopLayer C_0805(2012)X0.65  590.000       1840.000      90       Capacitor                                                                                                                                                
C47        100nF               TopLayer C_0805(2012)X0.65  590.000       2260.000      270      Capacitor                                                                                                                                                
C46        100nF               TopLayer C_0805(2012)X0.65  665.000       500.000       90       Capacitor                                                                                                                                                
C45        100nF               TopLayer C_0805(2012)X0.65  590.000       1000.000      270      Capacitor                                                                                                                                                
C44        100nF               TopLayer C_0805(2012)X0.65  3155.000      365.000       90       Capacitor                                                                                                                                                
C43        100uF               TopLayer KEMET_63_-_2       3460.000      555.000       360      "Polarized Capacitor"                                                                                                                                    
C42        10uF                TopLayer KEMET_4_-_2        3070.000      755.503       360      "Polarized Capacitor"                                                                                                                                    
C41        47µF                TopLayer CAP_TANT_35X28     2925.000      1245.000      360      "Capacitor tantale 47µF"                                                                                                                                 
C40        10nF                TopLayer C_0805(2012)X0.65  2765.000      1590.000      270      "Capacitor 10nF"                                                                                                                                         
C39        "470µF 35V"         TopLayer KEMET_10           3495.000      1650.000      270      "Polarized capacitor"                                                                                                                                    
C61        100nF               TopLayer C_0805(2012)X0.65  5785.000      2800.000      270      Capacitor                                                                                                                                                
C34        10nF                TopLayer C_0805(2012)X0.65  3410.000      4900.000      180      "Capacitor 10nF"                                                                                                                                         
C33        100nF               TopLayer C_0805(2012)X0.65  4488.284      2818.284      45       Capacitor                                                                                                                                                
C32        100nF               TopLayer C_0805(2012)X0.65  5310.000      3360.000      225      Capacitor                                                                                                                                                
C31        100nF               TopLayer C_0805(2012)X0.65  5293.284      2666.716      135      Capacitor                                                                                                                                                
C30        100nF               TopLayer C_0805(2012)X0.65  4735.000      2505.000      45       Capacitor                                                                                                                                                
C29        100nF               TopLayer C_0805(2012)X0.65  4618.284      2683.284      45       Capacitor                                                                                                                                                
C28        100nF               TopLayer C_0805(2012)X0.65  4590.000      3320.000      315      Capacitor                                                                                                                                                
C27        100nF               TopLayer C_0805(2012)X0.65  4801.716      3498.284      315      Capacitor                                                                                                                                                
C26        10µF                TopLayer C_0805(2012)X0.65  5360.000      3310.000      45       "Capacitor non polarized 10µF SMD 0805"                                                                                                                  
C24        100nF               TopLayer C_0805(2012)X0.65  3770.000      4900.000      180      Capacitor                                                                                                                                                
C23        100nF               TopLayer C_0805(2012)X0.65  4130.000      4900.000      180      Capacitor                                                                                                                                                
C22        100nF               TopLayer C_0805(2012)X0.65  3470.000      3120.000      270      Capacitor                                                                                                                                                
C20        100nF               TopLayer C_0805(2012)X0.65  3860.000      3160.630      270      Capacitor                                                                                                                                                
C19        100nF               TopLayer C_0805(2012)X0.65  4490.000      4910.000      180      Capacitor                                                                                                                                                
C18        100uF               TopLayer KEMET_63_-_2       6445.000      787.677       90       "Polarized Capacitor"                                                                                                                                    
C16        22pF                TopLayer C_0805(2012)X0.65  5370.000      1305.000      270      Capacitor                                                                                                                                                
C17        100nF               TopLayer C_0805(2012)X0.65  6160.000      1665.630      90       Capacitor                                                                                                                                                
C15        22pF                TopLayer C_0805(2012)X0.65  5370.385      2112.521      90       Capacitor                                                                                                                                                
C14        100nF               TopLayer C_0805(2012)X0.65  5850.000      1930.000      180      Capacitor                                                                                                                                                
C13        100nF               TopLayer C_0805(2012)X0.65  5930.000      1180.000      90       Capacitor                                                                                                                                                
C12        100nF               TopLayer C_0805(2012)X0.65  3290.000      5630.000      270      Capacitor                                                                                                                                                
C11        100nF               TopLayer C_0805(2012)X0.65  2135.000      5634.370      90       Capacitor                                                                                                                                                
C10        100nF               TopLayer C_0805(2012)X0.65  6190.000      4690.000      270      Capacitor                                                                                                                                                
C9         100nF               TopLayer C_0805(2012)X0.65  6190.000      4880.000      270      Capacitor                                                                                                                                                
C8         100nF               TopLayer C_0805(2012)X0.65  6190.000      5080.000      270      Capacitor                                                                                                                                                
C7         100nF               TopLayer C_0805(2012)X0.65  6940.000      3960.000      90       Capacitor                                                                                                                                                
C6         100nF               TopLayer C_0805(2012)X0.65  6940.000      4150.000      90       Capacitor                                                                                                                                                
C5         100nF               TopLayer C_0805(2012)X0.65  6940.000      4340.000      90       Capacitor                                                                                                                                                
C4         100nF               TopLayer C_0805(2012)X0.65  6940.000      4520.000      90       Capacitor                                                                                                                                                
C3         100nF               TopLayer C_0805(2012)X0.65  6940.000      4700.000      90       Capacitor                                                                                                                                                
C2         100nF               TopLayer C_0805(2012)X0.65  6940.000      4880.000      90       Capacitor                                                                                                                                                
C1         100nF               TopLayer C_0805(2012)X0.65  6940.000      5060.000      90       Capacitor                                                                                                                                                
