Removed Pin From Net: NetName=NetC34_2 Pin=D14-3
Removed Pin From Net: NetName=24V Pin=F1-2
Removed Pin From Net: NetName=NetC34_2 Pin=P8-8
Removed Pin From Net: NetName=NetC34_2 Pin=P8-8
Removed Pin From Net: NetName=NetQ25_3 Pin=Q30-1
Removed Pin From Net: NetName=NetQ37_3 Pin=Q30-1
Removed Pin From Net: NetName=Carrousel 1 -_8 Pin=Q30-2
Removed Pin From Net: NetName=Carrousel 3 -_8 Pin=Q30-2
Removed Pin From Net: NetName=NetQ31_3 Pin=Q35-1
Removed Pin From Net: NetName=Carrousel 2 -_8 Pin=Q35-2
Removed Pin From Net: NetName=NetC34_2 Pin=R189-1
Change Component Footprint: Designator=P23 Old Footprint=HDR1X3 New Footprint=HDR1X4
Change Component Footprint: Designator=P10 Old Footprint=M20_1X6 New Footprint=M20_1X6B
Change Component Comment : Designator=R33 Old Comment=56K New Comment=4.7K
Change Component Comment : Designator=P23 Old Comment=Header 3 New Comment=DS18B20
Change Component Comment : Designator=Q22 Old Comment=IRFZ44N New Comment=IRFZ44
Change Component Comment : Designator=Q30 Old Comment=IRFZ44N New Comment=IRFZ44
Change Component Comment : Designator=Q30 Old Comment=IRFZ44N New Comment=IRFZ44
Change Component Comment : Designator=Q35 Old Comment=IRFZ44N New Comment=IRFZ44
Change Component Designator: OldDesignator=Q30 NewDesignator=Q35
Change Component Designator: OldDesignator=Q35 NewDesignator=Q47
Change Component Kind : Designator=P10 Old Kind=Standard New Kind=Standard (No BOM)
Change component parameters: Designator = "P10" ("P10"); Footprint = "M20_1X6"; UniqueID = "\OCXSBQBR\LTHMDYSV" ("\OCXSBQBR\LTHMDYSV")
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "International Rectifier"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "IRFZ44NPBF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "175°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "94W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Nominal Vgs"; Value = "2.1V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Elements"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "On-State Resistance"; Value = "17.5MR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Rail/Tube"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Dissipation"; Value = "94W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rds On Max"; Value = "17.5mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Recovery Time"; Value = "95ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rise Time"; Value = "60ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "1121"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "TME"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "IRFZ44NPBF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Threshold Voltage"; Value = "2.1V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Turn-Off Delay Time"; Value = "44ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Turn-On Delay Time"; Value = "12ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "55V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "4.83mm"; VariantName = "[No Variations]"
Change component parameters: Designator = "Q35" ("Q47"); Footprint = "TO220 IRFZ44"; UniqueID = "\BCVJLYNN\EWSTOZOT" ("\BCVJLYNN\EWSTOZOT")
Change component parameters (AddParameter): Name = "Case/Package"; Value = "TO-220AB"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "MOSFETs"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/6374/irfz44espbf-6374359.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/6374/irfz44espbf-6374359.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/17313/irfz44espbf-17313991.pdf?src-supplier=Avnet+Europe"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/17313/irfz44espbf-17313991.pdf?src-supplier=Avnet+Europe"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/939/irfz44npbf-939122.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/939/irfz44npbf-939122.pdf?src-supplier=Digi-Key"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/26791/irfz44npbf-26791355.pdf?src-supplier=IIIC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/26791/irfz44npbf-26791355.pdf?src-supplier=IIIC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/29326/162747-da-01-en-irfz-44-n-29326623.pdf?src-supplier=Conrad"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/29326/162747-da-01-en-irfz-44-n-29326623.pdf?src-supplier=Conrad"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6Description"; Value = "https://datasheet.ciiva.com/16199/irfz44npbf-16199655.pdf?src-supplier=Future+Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink6URL"; Value = "https://datasheet.ciiva.com/16199/irfz44npbf-16199655.pdf?src-supplier=Future+Electronics"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7Description"; Value = "https://datasheet.ciiva.com/8079/irfz44n-8079627.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink7URL"; Value = "https://datasheet.ciiva.com/8079/irfz44n-8079627.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8Description"; Value = "https://datasheet.ciiva.com/7835/irfz44npbf-7835740.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink8URL"; Value = "https://datasheet.ciiva.com/7835/irfz44npbf-7835740.pdf?src-supplier=Element14"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Continuous Drain Current (ID)"; Value = "49A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating"; Value = "49A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Breakdown Voltage"; Value = "55V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Resistance"; Value = "17.5mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Drain to Source Voltage (Vdss)"; Value = "55V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dual Supply Voltage"; Value = "55V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Element Configuration"; Value = "Single"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Fall Time"; Value = "45ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Gate to Source Voltage (Vgs)"; Value = "20V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "8.77mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Input Capacitance"; Value = "1.47nF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lead Pitch"; Value = "2.54mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Length"; Value = "10.67mm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "International Rectifier"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "IRFZ44NPBF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Operating Temperature"; Value = "175°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Max Power Dissipation"; Value = "94W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mount"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Nominal Vgs"; Value = "2.1V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Elements"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Pins"; Value = "3"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "On-State Resistance"; Value = "17.5MR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package Quantity"; Value = "50"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Rail/Tube"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Power Dissipation"; Value = "94W"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rds On Max"; Value = "17.5mR"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Recovery Time"; Value = "95ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Rise Time"; Value = "60ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "RoHS"; Value = "Yes"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "1121"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "TME"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "IRFZ44NPBF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Termination"; Value = "Through Hole"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Threshold Voltage"; Value = "2.1V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Turn-Off Delay Time"; Value = "44ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Turn-On Delay Time"; Value = "12ns"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Voltage Rating (DC)"; Value = "55V"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Width"; Value = "4.83mm"; VariantName = "[No Variations]"
Added Component: Designator=C43(KEMET_10)
Add component (AddParameter): Name = "Capacitance"; Value = "470uF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "Radial"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.farnell.com/datasheets/1680956.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.farnell.com/datasheets/1680956.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/11783/0900766b80e4e8b0-11783536.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/11783/0900766b80e4e8b0-11783536.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/29313/443482-da-01-en-smd-elko-vfk-h13-470-uf-35v-29313589.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/29313/443482-da-01-en-smd-elko-vfk-h13-470-uf-35v-29313589.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4Description"; Value = "https://datasheet.ciiva.com/48483/aba0000ce120-48483341.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink4URL"; Value = "https://datasheet.ciiva.com/48483/aba0000ce120-48483341.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5Description"; Value = "https://datasheet.ciiva.com/30252/eev-fkseries-30252141.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink5URL"; Value = "https://datasheet.ciiva.com/30252/eev-fkseries-30252141.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink6Description"; Value = "https://datasheet.ciiva.com/15225/getdatasheetpartid-199809-15225692.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink6URL"; Value = "https://datasheet.ciiva.com/15225/getdatasheetpartid-199809-15225692.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink7Description"; Value = "https://datasheet.ciiva.com/14599/70258115-14599980.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink7URL"; Value = "https://datasheet.ciiva.com/14599/70258115-14599980.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink8Description"; Value = "https://datasheet.ciiva.com/28692/1676921-28692730.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink8URL"; Value = "https://datasheet.ciiva.com/28692/1676921-28692730.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink9Description"; Value = "https://datasheet.ciiva.com/14592/70258115-14592362.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink9URL"; Value = "https://datasheet.ciiva.com/14592/70258115-14592362.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink10Description"; Value = "https://datasheet.ciiva.com/14592/70068597-14592122.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink10URL"; Value = "https://datasheet.ciiva.com/14592/70068597-14592122.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink11Description"; Value = "https://datasheet.ciiva.com/2984/aba0000ce120-2984090.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink11URL"; Value = "https://datasheet.ciiva.com/2984/aba0000ce120-2984090.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink12Description"; Value = "https://datasheet.ciiva.com/8081/1676921-8081433.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink12URL"; Value = "https://datasheet.ciiva.com/8081/1676921-8081433.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink13Description"; Value = "https://datasheet.ciiva.com/46379/1676921-46379192.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink13URL"; Value = "https://datasheet.ciiva.com/46379/1676921-46379192.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink14Description"; Value = "https://datasheet.ciiva.com/24229/aba0000ce120-24229287.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink14URL"; Value = "https://datasheet.ciiva.com/24229/aba0000ce120-24229287.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink15Description"; Value = "https://datasheet.ciiva.com/31417/1676921-31417910.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink15URL"; Value = "https://datasheet.ciiva.com/31417/1676921-31417910.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink16Description"; Value = "https://datasheet.ciiva.com/43470/1676921-43470869.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink16URL"; Value = "https://datasheet.ciiva.com/43470/1676921-43470869.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink17Description"; Value = "https://datasheet.ciiva.com/17355/aba0000ce120-17355694.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink17URL"; Value = "https://datasheet.ciiva.com/17355/aba0000ce120-17355694.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink18Description"; Value = "https://datasheet.ciiva.com/46372/1676921-46372495.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink18URL"; Value = "https://datasheet.ciiva.com/46372/1676921-46372495.pdf"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Contact Plating"; Value = "Tin"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Diameter"; Value = "12.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dissipation Factor"; Value = "0.12%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ESR (Equivalent Series Resistance)"; Value = "60mR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "13.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height - Seated (Max)"; Value = "0.531inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Impedance"; Value = "60mR"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Leakage Current"; Value = "3uA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "13.5mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Life (Hours)"; Value = "5000Hour"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer"; Value = "Panasonic"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Manufacturer Part Number"; Value = "EEV-FK1V471Q"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Material"; Value = "Aluminium"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "105°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount,PCB"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "200"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "REACH SVHC"; Value = "No SVHC"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ripple Current"; Value = "1.1A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Ripple Current (AC)"; Value = "1.1A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "0"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Farnell"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "2326374RL"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Termination"; Value = "SMD/SMT"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "20%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "35V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "35V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "35V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "900um"; VariantName = "[No Variations]"
Added Component: Designator=C62(C 0805(2012)x0.65)
Add component (AddParameter): Name = "Capacitance"; Value = "10uF"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Imperial)"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case Code (Metric)"; Value = "2012"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Case/Package"; Value = "0805"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.tme.eu/en/details/cc0805kkx5r5106/0805-mlcc-smd-capacitors/yageo/cc0805kkx5r5bb106/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.tme.eu/en/details/cc0805kkx5r5106/0805-mlcc-smd-capacitors/yageo/cc0805kkx5r5bb106/"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Depth"; Value = "1.25mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Dielectric"; Value = "X7R"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Height"; Value = "1.25mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Lead Free"; Value = "Lead Free"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Length"; Value = "2mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Max Operating Temperature"; Value = "85°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Min Operating Temperature"; Value = "-55°C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mount"; Value = "Surface Mount"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package Quantity"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Packaging"; Value = "Tape and Reel"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Radiation Hardening"; Value = "No"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "TME"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "CL21A106KOQNNNE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Thickness"; Value = "0.055inch"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Tolerance"; Value = "10%"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage"; Value = "16V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating"; Value = "16V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Rating (DC)"; Value = "16V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Width"; Value = "0.049inch"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=C43-2
Added Pin To Net: NetName=NetC35_1 Pin=C62-1
Added Pin To Net: NetName=GND Pin=C62-2
Added Pin To Net: NetName=24V Pin=D22-3
Added Pin To Net: NetName=24V Pin=F2-1
Added Pin To Net: NetName=24V Pin=Q12-3
Added Pin To Net: NetName=NetQ25_3 Pin=Q30-1
Added Pin To Net: NetName=Carrousel 1 -_8 Pin=Q30-2
Added Pin To Net: NetName=NetQ31_3 Pin=Q35-1
Added Pin To Net: NetName=Carrousel 2 -_8 Pin=Q35-2
Added Pin To Net: NetName=NetQ37_3 Pin=Q47-1
Added Pin To Net: NetName=Carrousel 3 -_8 Pin=Q47-2
Change Net Name : Old Net Name=3.3V New Net Name=+3.3
Change Net Name : Old Net Name=5V New Net Name=+5
Change Net Name : Old Net Name=24V New Net Name=+24
Change Net Name : Old Net Name=AN New Net Name=GSM STAT
Change Net Name : Old Net Name=CS New Net Name=GSM RTS
Change Net Name : Old Net Name=CTS GSM New Net Name=GSM CTS
Change Net Name : Old Net Name=RI New Net Name=GSM RI
Change Net Name : Old Net Name=RTS GSM New Net Name=PWRKEY
Change Net Name : Old Net Name=RX_GSM New Net Name=GSM_RX
Change Net Name : Old Net Name=TX GSM New Net Name=GSM TX
Change Net Color : Old Net Color=RGB(158, 161, 117) New Net Color=RGB(0, 190, 0)
Change Net Color : Old Net Color=RGB(158, 161, 117) New Net Color=RGB(255, 110, 110)
Added Pin To Net: NetName=NetC43_1 Pin=C43-1
Added Pin To Net: NetName=NetC43_1 Pin=F1-1
Added Pin To Net: NetName=NetC43_1 Pin=P11-3
Added Net: Name=NetC43_1
Added Pin To Net: NetName=NetD14_3 Pin=D14-3
Added Pin To Net: NetName=NetD14_3 Pin=P8-8
Added Pin To Net: NetName=NetD14_3 Pin=P8-8
Added Pin To Net: NetName=NetD14_3 Pin=R189-1
Added Net: Name=NetD14_3
Added Pin To Net: NetName=NetF1_2 Pin=F1-2
Added Pin To Net: NetName=NetF1_2 Pin=Q12-2
Added Net: Name=NetF1_2
Added Pin To Net: NetName=NetP23_4 Pin=P23-4
Added Net: Name=NetP23_4
Added Member To Class: ClassName=U_PSU Member=Component C43 470µF 35V
Added Member To Class: ClassName=U_PSU Member=Component C62 10µF
Added Member To Class: ClassName=U_MOTOR DRIVER Member=Component Q22 IRFZ44
Added Member To Class: ClassName=U_MOTOR DRIVER Member=Component Q30 IRFZ44
Added Member To Class: ClassName=U_MOTOR DRIVER Member=Component Q35 IRFZ44
Added Member To Class: ClassName=U_MOTOR DRIVER Member=Component Q47 IRFZ44
Added Member To Class: ClassName=U_MDB Member=Component R33 4.7K
Change Rule Scope 1 : Old Scope=InNet('3.3V') New Scope=InNet('+3.3')
Change Rule Scope 1 : Old Scope=InNet('5V') New Scope=InNet('+5')
Change Rule Scope 1 : Old Scope=InNet('NetP11_3') New Scope=InNet('NetC43_1')
